region;country;year;population;TOTAL Actual DD;Actual DBD;Actual DCD;Total Utilized DD;Utilized DBD;Utilized DCD;DD Kidney Tx;LD Kidney Tx;TOTAL Kidney Tx;DD Liver Tx;DOMINO Liver Tx;LD Liver Tx;TOTAL Liver TX;Total Heart TX;DD Lung Tx;LD Lung Tx;TOTAL Lung Tx;Pancreas Tx;Kidney Pancreas Tx;Small Bowel Tx;TOTAL tx;development;idh;pmp_TOTAL tx;pmp_TOTAL Actual DD;pmp_Actual DBD;pmp_Actual DCD;pmp_Total Utilized DD;pmp_Utilized DBD;pmp_Utilized DCD;pmp_DD Kidney Tx;pmp_LD Kidney Tx;pmp_TOTAL Kidney Tx;pmp_DD Liver Tx;pmp_DOMINO Liver Tx;pmp_LD Liver Tx;pmp_TOTAL Liver TX;pmp_Total Heart TX;pmp_DD Lung Tx;pmp_LD Lung Tx;pmp_TOTAL Lung Tx;pmp_Pancreas Tx;pmp_Kidney Pancreas Tx;pmp_Small Bowel Tx;idx_region
Europe;Republic of Moldova;2024;3,3;2,0;2,0;0,0;2,0;2,0;0,0;1,0;0,0;1,0;2,0;0,0;2,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;High human development;0,7785;1,5151515151515151;0,6060606060606061;0,6060606060606061;0,0;0,6060606060606061;0,6060606060606061;0,0;0,30303030303030304;0,0;0,30303030303030304;0,6060606060606061;0,0;0,6060606060606061;1,2121212121212122;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1
Europe;Republic of North Macedonia;2020;2,1;2,0;2,0;0,0;2,0;2,0;0,0;4,0;8,0;12,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;13,0;Very high human development;0,783;6,19047619047619;0,9523809523809523;0,9523809523809523;0,0;0,9523809523809523;0,9523809523809523;0,0;1,9047619047619047;3,8095238095238093;5,714285714285714;0,0;0,0;0,0;0,0;0,47619047619047616;0,0;0,0;0,0;0,0;0,0;0,0;1
Europe;Republic of North Macedonia;2022;2,1;5,0;5,0;0,0;5,0;5,0;0,0;10,0;12,0;22,0;1,0;0,0;0,0;2,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;26,0;Very high human development;0,811;12,38095238095238;2,380952380952381;2,380952380952381;0,0;2,380952380952381;2,380952380952381;0,0;4,761904761904762;5,714285714285714;10,476190476190476;0,47619047619047616;0,0;0,0;0,9523809523809523;0,9523809523809523;0,0;0,0;0,0;0,0;0,0;0,0;1
Europe;Republic of North Macedonia;2023;2,1;4,0;4,0;0,0;3,0;3,0;0,0;6,0;16,0;22,0;1,0;0,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;Very high human development;0,815;11,904761904761905;1,9047619047619047;1,9047619047619047;0,0;1,4285714285714286;1,4285714285714286;0,0;2,857142857142857;7,619047619047619;10,476190476190476;0,47619047619047616;0,0;0,0;0,47619047619047616;0,9523809523809523;0,0;0,0;0,0;0,0;0,0;0,0;1
Europe;Republic of North Macedonia;2024;2,1;2,0;2,0;0,0;2,0;2,0;0,0;4,0;5,0;9,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0;Very high human development;0,811;4,761904761904762;0,9523809523809523;0,9523809523809523;0,0;0,9523809523809523;0,9523809523809523;0,0;1,9047619047619047;2,380952380952381;4,285714285714286;0,47619047619047616;0,0;0,0;0,47619047619047616;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1
Europe;Romania;2020;19,2;66,0;66,0;0,0;66,0;66,0;0,0;120,0;54,0;174,0;53,0;0,0;9,0;62,0;4,0;1,0;0,0;1,0;0,0;0,0;0,0;241,0;Very high human development;0,832;12,552083333333334;3,4375;3,4375;0,0;3,4375;3,4375;0,0;6,25;2,8125;9,0625;2,760416666666667;0,0;0,46875;3,229166666666667;0,20833333333333334;0,052083333333333336;0,0;0,052083333333333336;0,0;0,0;0,0;1
Europe;Romania;2021;19,1;47,0;47,0;0,0;47,0;47,0;0,0;88,0;68,0;156,0;42,0;0,0;11,0;53,0;3,0;1,0;0,0;1,0;0,0;0,0;0,0;213,0;Very high human development;0,829;11,151832460732983;2,4607329842931933;2,4607329842931933;0,0;2,4607329842931933;2,4607329842931933;0,0;4,607329842931937;3,5602094240837694;8,167539267015707;2,1989528795811517;0,0;0,5759162303664921;2,7748691099476437;0,15706806282722513;0,05235602094240837;0,0;0,05235602094240837;0,0;0,0;0,0;1
Europe;Romania;2022;19,0;85,0;85,0;0,0;85,0;85,0;0,0;157,0;73,0;230,0;71,0;0,0;4,0;75,0;7,0;2,0;0,0;2,0;0,0;0,0;0,0;314,0;Very high human development;0,84;16,526315789473685;4,473684210526316;4,473684210526316;0,0;4,473684210526316;4,473684210526316;0,0;8,263157894736842;3,8421052631578947;12,105263157894736;3,736842105263158;0,0;0,21052631578947367;3,9473684210526314;0,3684210526315789;0,10526315789473684;0,0;0,10526315789473684;0,0;0,0;0,0;1
Europe;Romania;2023;19,9;82,0;82,0;0,0;82,0;82,0;0,0;161,0;58,0;219,0;86,0;0,0;8,0;94,0;11,0;1,0;0,0;1,0;0,0;0,0;0,0;325,0;Very high human development;0,845;16,331658291457288;4,120603015075377;4,120603015075377;0,0;4,120603015075377;4,120603015075377;0,0;8,090452261306533;2,9145728643216082;11,00502512562814;4,3216080402010055;0,0;0,4020100502512563;4,723618090452262;0,5527638190954774;0,05025125628140704;0,0;0,05025125628140704;0,0;0,0;0,0;1
Europe;Romania;2024;19,6;73,0;73,0;0,0;73,0;73,0;0,0;118,0;49,0;167,0;63,0;0,0;11,0;74,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;243,0;Very high human development;0,836;12,397959183673468;3,724489795918367;3,724489795918367;0,0;3,724489795918367;3,724489795918367;0,0;6,020408163265306;2,5;8,520408163265305;3,214285714285714;0,0;0,5612244897959183;3,775510204081632;0,0510204081632653;0,0510204081632653;0,0;0,0510204081632653;0,0;0,0;0,0;1
